type,size,diam
Number,#80,0.0135
Metric,0.35,0.0138
Number,#79,0.0145
Fraction,1/64,0.0156
Metric,0.4,0.0157
Number,#78,0.016
Metric,0.45,0.0177
Number,#77,0.018
Metric,0.5,0.0197
Number,#76,0.02
Number,#75,0.021
Metric,0.55,0.0217
Number,#74,0.0225
Metric,0.6,0.0236
Number,#73,0.024
Number,#72,0.025
Metric,0.65,0.0256
Number,#71,0.026
Metric,0.7,0.0276
Number,#70,0.028
Number,#69,0.0292
Metric,0.75,0.0295
Number,#68,0.031
Fraction,1/32,0.0313
Metric,0.8,0.0315
Number,#67,0.032
Number,#66,0.033
Metric,0.85,0.0335
Number,#65,0.035
Metric,0.9,0.0355
Number,#64,0.036
Number,#63,0.037
Metric,0.95,0.0374
Number,#62,0.038
Number,#61,0.039
Metric,1,0.0394
Number,#60,0.04
Number,#59,0.041
Metric,1.05,0.0413
Number,#58,0.042
Number,#57,0.043
Metric,1.1,0.0433
Metric,1.15,0.0453
Number,#56,0.0465
Fraction,3/64,0.0469
Metric,1.2,0.0472
Metric,1.25,0.0492
Metric,1.3,0.0512
Number,#55,0.052
Metric,1.35,0.0531
Number,#54,0.055
Metric,1.4,0.0551
Metric,1.5,0.0591
Number,#53,0.0595
Metric,1.55,0.061
Fraction,1/16,0.0625
Metric,1.6,0.0629
Number,#52,0.0635
Metric,1.65,0.065
Metric,1.7,0.0669
Number,#51,0.067
Metric,1.75,0.0689
Number,#50,0.07
Metric,1.8,0.0709
Metric,1.85,0.0728
Number,#49,0.073
Metric,1.9,0.0748
Number,#48,0.076
Metric,1.95,0.0768
Fraction,5/64,0.0781
Number,#47,0.0785
Metric,2,0.0787
Metric,2.05,0.0807
Number,#46,0.081
Number,#45,0.082
Metric,2.1,0.0827
Metric,2.15,0.0846
Number,#44,0.086
Metric,2.2,0.0866
Metric,2.25,0.0886
Number,#43,0.089
Metric,2.3,0.0905
Metric,2.35,0.0925
Number,#42,0.0935
Fraction,3/32,0.0937
Metric,2.4,0.0945
Number,#41,0.096
Metric,2.45,0.0965
Number,#40,0.098
Metric,2.5,0.0984
Number,#39,0.0995
Metric,2.55,0.1004
Number,#38,0.1015
Metric,2.6,0.1024
Number,#37,0.104
Metric,2.65,0.1043
Metric,2.7,0.1063
Number,#36,0.1065
Metric,2.75,0.1083
Fraction,7/64,0.1093
Number,#35,0.11
Metric,2.8,0.1102
Number,#34,0.111
Number,#33,0.113
Metric,2.9,0.1142
Number,#32,0.116
Metric,3,0.1181
Number,#31,0.12
Metric,3.1,0.122
Fraction,1/8,0.125
Metric,3.2,0.126
Metric,3.25,0.128
Number,#30,0.1285
Metric,3.3,0.1299
Metric,3.4,0.1339
Number,#29,0.136
Metric,3.5,0.1378
Number,#28,0.1405
Fraction,9/64,0.1406
Metric,3.6,0.1417
Number,#27,0.144
Metric,3.7,0.1457
Number,#26,0.147
Metric,3.75,0.1477
Number,#25,0.1495
Metric,3.8,0.1496
Number,#24,0.152
Metric,3.9,0.1535
Number,#23,0.154
Fraction,5/32,0.1562
Number,#22,0.157
Metric,4,0.1575
Number,#21,0.159
Number,#20,0.161
Metric,4.1,0.1614
Metric,4.2,0.1654
Number,#19,0.166
Metric,4.25,0.1674
Metric,4.3,0.1693
Number,#18,0.1695
Fraction,11/64,0.1719
Number,#17,0.173
Metric,4.4,0.1732
Number,#16,0.177
Metric,4.5,0.1771
Number,#15,0.18
Metric,4.6,0.1811
Number,#14,0.182
Number,#13,0.185
Metric,4.7,0.185
Metric,4.75,0.187
Fraction,3/16,0.1875
Number,#12,0.189
Metric,4.8,0.189
Number,#11,0.191
Metric,4.9,0.1929
Number,#10,0.1935
Number,#9,0.196
Metric,5,0.1968
Number,#8,0.199
Metric,5.1,0.2008
Number,#7,0.201
Fraction,13/64,0.2031
Number,#6,0.204
Metric,5.2,0.2047
Number,#,0.2055
Metric,5.25,0.2067
Metric,5.3,0.2087
Number,#4,0.209
Metric,5.4,0.2126
Number,#3,0.213
Metric,5.5,0.2165
Fraction,7/32,0.2187
Metric,5.6,0.2205
Number,#2,0.221
Metric,5.7,0.2244
Metric,5.75,0.2264
Number,#1,0.228
Metric,5.8,0.2283
Metric,5.9,0.2323
Letter,A,0.234
Fraction,15/64,0.2344
Metric,6,0.2362
Letter,B,0.238
Metric,6.1,0.2401
Letter,C,0.242
Metric,6.2,0.2441
Letter,D,0.246
Metric,6.25,0.2461
Metric,6.3,0.248
Fraction,1/4,0.25
Letter,E,0.25
Metric,6.4,0.252
Metric,6.5,0.2559
Letter,Fraction,0.257
Metric,6.6,0.2598
Letter,G,0.261
Metric,6.7,0.2638
Fraction,17/64,0.2656
Metric,6.75,0.2658
Letter,H,0.266
Metric,6.8,0.2677
Metric,6.9,0.2716
Letter,I,0.272
Metric,7,0.2756
Letter,J,0.277
Metric,7.1,0.2795
Letter,K,0.2811
Fraction,9/32,0.2812
Metric,7.2,0.2835
Metric,7.25,0.2855
Metric,7.3,0.2874
Letter,Letter,0.29
Metric,7.4,0.2913
Letter,Metric,0.295
