material,type,flutes,flute_length,diameter
Aluminum,flat,2,1/2",1/8"
Aluminum,flat,2,5/8",3/16"
Aluminum,flat,2,3/4",1/4"
Aluminum,flat,2,3/4",5/16"
Aluminum,flat,2,1",3/8"
Aluminum,flat,2,1 1/4",1/2"
Aluminum,flat,2,1 5/8",5/8"
Aluminum,flat,2,1 3/4",3/4"
Aluminum,ball,2,1/2",1/8"
Aluminum,ball,2,5/8",3/16"
Aluminum,ball,2,3/4",1/4"
Aluminum,ball,2,3/4",5/16"
Aluminum,ball,2,1",3/8"
Aluminum,ball,2,1 1/4",1/2"
Aluminum,ball,2,1 5/8",5/8"
Aluminum,ball,2,1 3/4",3/4"
Steel,flat,4,3/8",1/8"
Steel,flat,4,7/16",3/16"
Steel,flat,4,5/8",1/4"
Steel,flat,4,3/4",5/16"
Steel,flat,4,7/8",3/8"
Steel,flat,4,1",1/2"
Steel,flat,4,1 1/4",5/8"
Steel,flat,4,1 1/2",3/4"
Steel,ball,4,3/8",1/8"
Steel,ball,4,7/16",3/16"
Steel,ball,4,5/8",1/4"
Steel,ball,4,3/4",5/16"
Steel,ball,4,7/8",3/8"
Steel,ball,4,1",1/2"
Steel,ball,4,1 1/4",5/8"
Steel,ball,4,1 1/2",3/4"

