form,size,pitch,major_dia,tap_drill,clearance_drill_close,clearance_drill_free
UNF,#0-80,80.0,0.06,3/64,#52,#50
UNC,#1-64,64.0,0.073,#53,#48,#46
UNF,#1-72,72.0,0.073,#53,#48,#46
UNC,#2-56,56.0,0.086,#50,#43,#41
UNF,#2-64,64.0,0.086,#50,#43,#41
UNC,#3-48,48.0,0.099,#47,#37,#35
UNF,#3-56,56.0,0.099,#45,#37,#35
UNC,#4-40,40.0,0.112,#43,#32,#30
UNF,#4-48,48.0,0.112,#42,#32,#30
UNC,#5-40,40.0,0.125,#38,#30,#29
UNF,#5-44,44.0,0.125,#37,#30,#29
UNC,#6-32,32.0,0.138,#36,#27,#25
UNF,#6-40,40.0,0.138,#33,#27,#25
UNC,#8-32,32.0,0.164,#29,#18,#16
UNF,#8-36,36.0,0.164,#29,#18,#16
UNC,#10-24,24.0,0.19,#25,#9,#7
UNF,#10-32,32.0,0.19,#21,#9,#7
UNF,#12-28,28.0,0.216,#14,#2,#1
UNC,#12-24,24.0,0.216,#16,#2,#1
UNC,1/4-20,20.0,0.25,#7,F,H
UNF,1/4-28,28.0,0.25,3,F,H
UNC,5/16-18,18.0,0.3125,F,P,Q
UNF,5/16-24,24.0,0.3125,I,P,Q
UNC,3/8-16,16.0,0.375,5/16,W,X
UNF,3/8-24,24.0,0.375,Q,W,X
UNC,7/16-14,14.0,0.4375,U,29/64,15/32
UNF,7/16-20,20.0,0.4375,25/64,29/64,15/32
UNC,1/2-13,13.0,0.5,27/64,33/64,17/32
UNF,1/2-20,20.0,0.5,29/64,33/64,17/32
UNF,9/16-18,18.0,0.5625,33/64,37/64,19/32
UNC,9/16-12,12.0,0.5625,31/64,37/64,19/32
UNC,5/8-11,11.0,0.625,17/32,41/64,21/32
UNF,5/8-18,18.0,0.625,37/64,41/64,21/32
UNC,3/4-10,10.0,0.75,21/32,49/64,25/32
UNF,3/4-16,16.0,0.75,11/16,49/64,25/32
UNC,7/8 -9,9.0,0.875,49/64,57/64,29/32
UNF,7/8-14,14.0,0.875,13/16,57/64,29/32
UNC,1 -8,8.0,1.0,7/8,1-1/64,1-1/32
UNF,1 -12,12.0,1.0,15/16,1-1/64,1-1/32
ISO,M1.6 x 0.35,0.35,1.6,1.25,1.7,1.75
ISO,M2 x 0.40,0.4,2.0,1.6,2.1,2.2
ISO,M2 x 0.45,0.45,2.0,1.55,2.1,2.2
ISO,M2.5 x 0.45,45.0,2.5,2.05,2.65,2.75
ISO,M3 x 0.5,0.5,3.0,2.5,3.15,3.3
ISO,M3 x 0.6,0.6,3.0,2.4,3.15,3.3
ISO,M3.5 x 0.6,0.6,3.5,2.9,3.7,3.85
ISO,M4 x 0.7,0.7,4.0,3.3,4.2,4.4
ISO,M4 x 0.75,0.75,4.0,3.25,4.2,4.4
ISO,M5 x 1,0.8,5.0,4,5.25,5.5
ISO,M5 x 0.8,0.8,5.0,4.2,5.25,5.5
ISO,M6 x 0.75,0.75,6.0,5.25,6.3,6.6
ISO,M6 x 1,1.0,6.0,5.5,6.3,6.6
ISO,M8 x 1,1.0,8.0,7,8.4,8.8
ISO,M8 x 1.25,1.25,8.0,6.8,8.4,8.8
ISO,M10 x 1,1.0,10.0,9,10.5,11
ISO,M10 x 1.25,1.25,10.0,8.8,10.5,11
ISO,M10 x 1.5,1.5,10.0,8.5,10.5,11
ISO,M12 x 1.25,1.25,12.0,10.8,12.6,13.2
ISO,M12 x 1.5,1.5,12.0,10.5,12.6,13.2
ISO,M12 x 1.75,1.75,12.0,10.8,12.6,13.2
ISO,M14 x 1.25,1.25,14.0,12.8,14.75,15.5
ISO,M14 x 1.5,1.5,14.0,12.5,14.75,15.5
ISO,M14 x 2,2.0,14.0,12,14.75,15.5
ISO,M16 x 1.5,1.5,16.0,14.5,16.75,17.5
ISO,M16 x 2,2.0,16.0,14,16.75,17.5
